Age,Income,Yearly_equip_failure,Tenure,MonthlyCharge,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,Contract_Month-to-month,Contract_One year,Contract_Two Year,Port_modem_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,DeviceProtection_Yes,TechSupport_Yes
-1.5027365836764446,-0.3029360821085815,-0.6256649906471274,-1.22617835126806,-1.2268666663157293,0,1,0,0,0,0,1,0,1,0,0,0,0
0.42964753201410133,-0.8408305113742256,0.9497457622486098,0.7955921406797151,0.8161243897321875,0,1,0,1,0,1,0,1,0,1,0,0,0
-0.6814733345079627,-0.9986447435056257,-0.6256649906471274,0.6983272765877091,0.7544518688805117,0,1,0,1,0,0,1,1,0,1,0,1,0
-0.9713309518615445,-1.0110800832028837,-0.6256649906471274,1.2815588725070577,-0.061758072899000226,0,1,0,1,0,1,0,1,0,1,0,0,0
0.23640912044504672,-1.251768757497874,0.9497457622486098,1.0360927982006978,-1.8091897493404774,1,0,0,0,0,0,1,1,1,0,0,0,0
1.3475299869671107,-0.4704224878947261,-0.6256649906471274,1.1388413179950079,-1.0516626329290268,1,0,0,0,0,0,1,0,1,0,0,1,0
0.18809951755278306,-0.9701674834770966,-0.6256649906471274,0.7339761416617159,2.274052527220165,0,1,0,0,0,0,1,0,1,0,0,1,1
0.9610531638290014,2.219594600400127,-0.6256649906471274,-0.7288739725782691,-0.002120325694471582,0,1,0,0,1,0,0,0,0,0,1,1,1
-1.1645693634305991,-0.03259941841168035,-0.6256649906471274,0.6813028824662242,-0.061758072899000226,1,0,0,0,0,0,1,1,0,1,0,0,0
-1.6476653923532356,-1.080861060086419,0.9497457622486098,-0.6157391284072984,-1.2855473939789996,1,0,0,0,1,0,0,0,1,0,0,0,0
1.2509107811825833,-0.6705652074599229,-0.6256649906471274,0.5861548221195072,-0.5855060127349518,1,0,0,1,1,0,0,1,0,1,0,1,0
-0.8747117460770172,-0.6449551200401129,-0.6256649906471274,0.7474446834917844,0.8750605712233246,1,0,0,0,1,0,0,0,0,0,1,0,1
-0.5848541287234353,-0.5294689383401304,-0.6256649906471274,1.0600342265605824,1.5737570906181124,0,1,0,0,0,0,1,0,0,1,0,0,0
0.6228859435831559,-0.4257774508497697,2.525156515144347,1.0388911371518357,-0.8180249348877562,0,1,0,0,0,1,0,1,0,0,1,0,0
1.444149192751638,0.03213724001088141,-0.6256649906471274,-1.2111988569620433,0.05552926352492958,0,1,0,0,1,0,0,1,1,0,0,1,1
1.589078001428429,-0.4224431226978833,0.9497457622486098,1.0586991281983753,-1.401715954514464,1,0,0,0,0,1,0,1,0,1,0,0,0
1.5407683985361653,0.09900996606206994,-0.6256649906471274,-0.8503894695772394,2.681527021281109,1,0,0,0,1,0,0,1,0,1,0,1,1
-0.7297829374002263,-0.34581519253993726,0.9497457622486098,-1.2290188821246486,-0.8186771579229009,1,0,0,0,1,0,0,0,1,0,0,0,1
0.7195051493676832,1.8283896337032912,0.9497457622486098,1.2814212802636142,-0.2932631044028826,0,1,0,0,1,0,0,0,0,0,1,1,1
-0.29499651136985344,-0.9021589882428475,-0.6256649906471274,-1.0974475033014741,-1.57565737938754,0,1,0,0,1,0,0,0,0,0,1,0,0
-0.10175809980079883,2.1545756384407206,0.9497457622486098,-1.1611790463397331,-1.8678716190874673,0,1,0,0,0,1,0,0,1,0,0,0,0
0.47795713490636493,0.49957552371741215,0.9497457622486098,-1.1226578325052419,-0.7018377280874845,0,1,0,0,1,0,0,1,1,0,0,1,0
0.9127435609367378,-0.2812612011118039,-0.6256649906471274,1.3366547379888984,-1.0516626329290268,1,0,0,0,0,0,1,1,1,0,0,1,0
1.6856972072129561,-0.8449820339748706,0.9497457622486098,1.0015129190180618,1.337839886704093,1,0,0,1,1,0,0,0,0,1,0,1,1
-0.488234922938908,0.8268282512620182,-0.6256649906471274,-1.2400941706677024,0.2886462180057808,0,1,0,0,1,0,0,1,0,1,0,1,0
-0.9713309518615445,2.171051502134354,0.9497457622486098,1.0304753302616376,-0.7018377280874845,1,0,0,0,0,1,0,1,1,0,0,1,0
0.18809951755278306,0.8034250258562352,0.9497457622486098,-0.8106933513423742,-0.0028871533346911176,1,0,0,1,0,0,1,0,1,0,0,1,0
0.38133792912183767,-0.6632698897446423,0.9497457622486098,1.3399251997753698,-2.0999847752102236,0,1,0,1,1,0,0,1,0,0,1,0,0
-1.30949817210739,-0.3952161264757168,-0.6256649906471274,-1.2012206972917538,-0.5862455935207209,1,0,0,0,1,0,0,1,0,1,0,0,0
0.6228859435831559,1.9599623099772043,-0.6256649906471274,-1.2483110004250477,-0.2947687902861098,0,1,0,0,1,0,0,0,1,0,0,0,0
-0.9230213489692809,0.6607210249840457,-0.6256649906471274,0.9395865814509765,-0.526987041418889,1,0,0,0,1,0,0,1,0,0,1,1,0
-0.7297829374002263,-0.32840938778375967,-0.6256649906471274,1.2130432272814238,-0.8182719978964593,0,1,0,0,1,0,0,0,0,1,0,1,1
0.23640912044504672,-0.15845697757283173,0.9497457622486098,-1.2100966448118848,-1.051471508714747,0,0,1,0,0,1,0,0,0,1,0,0,1
0.38133792912183767,0.19999509781918923,0.9497457622486098,1.0913236099213006,-1.0520169119603742,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.5365445258311716,1.3856323703587845,-0.6256649906471274,-0.5232128806993891,0.34996776953811287,1,0,0,0,1,0,0,1,1,0,0,0,0
1.4924587956439015,0.15390401990207128,-0.6256649906471274,0.7783175101154836,1.279157760570962,0,1,0,0,1,0,0,1,0,1,0,1,1
0.09148031176825576,-0.48958023518837607,4.100567268040085,1.1985582416529477,-0.9928989293873616,1,0,0,0,0,0,1,1,0,0,1,1,1
0.8161243551522105,-1.2919122330365944,0.9497457622486098,1.409885185556495,-0.002467612376516435,0,1,0,1,1,0,0,1,1,0,0,1,1
-1.599355789460972,0.5978350716366132,2.525156515144347,1.0815655226561882,-0.585144741354302,0,1,0,0,0,1,0,1,0,0,1,0,1
-1.2128789663228627,-0.4166266210331903,2.525156515144347,0.8604687734667964,-0.8187055235532397,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.1500677026930625,-1.273888943918868,-0.6256649906471274,-0.8807043672137873,0.28867516633189527,0,1,0,0,1,0,0,1,1,0,0,1,1
0.5262667377986286,1.0368419805644113,-0.6256649906471274,0.06646287062168865,0.5834982515567388,1,0,0,0,0,1,0,0,0,0,1,0,0
-0.6814733345079627,0.08842227242328839,0.9497457622486098,-1.0511137593213704,0.4629478187914502,1,0,0,0,0,0,1,0,0,1,0,0,1
1.3475299869671107,0.822868572705761,-0.6256649906471274,1.172540455619336,-0.46811379107147816,1,0,0,1,1,0,0,1,1,0,0,1,1
-0.29499651136985344,1.3937566815870568,-0.6256649906471274,-1.1570754738008282,0.17212901893407348,1,0,0,0,1,0,0,0,0,1,0,1,0
-0.7297829374002263,-0.18348803684044673,-0.6256649906471274,1.3247870289912047,-1.8091897493404774,1,0,0,0,0,0,1,0,1,0,0,0,0
0.18809951755278306,-0.18700896500817263,-0.6256649906471274,0.10314859153021813,0.28837915687807214,1,0,0,0,1,0,0,1,0,1,0,1,1
1.1059819725057924,2.3557531796394255,-0.6256649906471274,0.6594298737660218,-0.7608415022885493,0,1,0,0,0,1,0,1,1,0,0,0,1
-0.5848541287234353,-1.3416645168851022,-0.6256649906471274,-0.931144133857531,1.4581642335085874,1,0,0,0,0,1,0,0,1,0,0,1,0
0.47795713490636493,-0.9522905901563407,0.9497457622486098,1.0646189966724766,-0.061918896932967225,1,0,0,0,1,0,0,0,0,1,0,0,0
1.2509107811825833,1.641457496055726,-0.6256649906471274,-1.1642167380359612,-1.576310255041953,0,1,0,1,0,0,1,1,1,0,0,0,1
-1.0679501576460717,-0.8962502790761823,4.100567268040085,1.1919005158733458,1.6324392167512431,0,1,0,1,0,1,0,0,0,1,0,0,0
0.28471872333731035,1.2853516864366377,-0.6256649906471274,-1.1909389283158847,1.45773770020111,0,1,0,0,1,0,0,0,1,0,0,1,1
-0.24668690847758978,-0.42259563652815957,-0.6256649906471274,0.5334176808109882,0.8161243897321875,1,0,0,0,0,1,0,0,0,1,0,0,0
1.299220384074847,-0.6411514513331641,0.9497457622486098,1.0805037187775248,0.2299650708015525,1,0,0,0,1,0,0,0,0,1,0,1,0
1.1059819725057924,-1.224471403892686,0.9497457622486098,-1.0982665979403092,-0.29438299906723675,0,1,0,0,1,0,0,0,0,0,1,0,0
1.009362766721265,-1.1149323875687223,0.9497457622486098,-0.9445749890209202,-0.17726702181689022,0,1,0,0,1,0,0,1,0,1,0,1,1
-0.5848541287234353,0.0763194915364607,0.9497457622486098,1.2987888989923706,-1.284428618090534,0,1,0,0,1,0,0,1,1,0,0,1,1
-0.3916157171543807,1.6698928038558698,0.9497457622486098,-0.8740065733632923,2.389967032397624,0,1,0,0,0,1,0,1,0,1,0,1,0
-0.9713309518615445,-0.49806682138885217,2.525156515144347,-1.149828293778297,-0.5279146930930748,0,1,0,0,0,1,0,1,1,0,0,0,0
0.1397899146605194,-1.1505048182229431,-0.6256649906471274,0.9081516678327697,0.7544518688805117,0,1,0,0,1,0,0,0,0,1,0,1,0
-0.10175809980079883,-1.322007275872238,0.9497457622486098,-1.2385576759683623,-0.060636966227434023,1,0,0,0,0,1,0,1,0,1,0,1,1
