Age,Income,Yearly_equip_failure,Tenure,MonthlyCharge,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,Contract_Month-to-month,Contract_One year,Contract_Two Year,Port_modem_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,OnlineSecurity_Yes,DeviceProtection_Yes,TechSupport_Yes
0.7195051493676832,-0.3572021635299378,0.9497457622486098,-1.0474777728915718,-0.0032363279510469645,0,1,0,0,0,1,0,1,0,1,0,1,0,0
-1.2611885692151263,-0.6568643088730366,0.9497457622486098,-1.2606259977275347,1.6324381445910168,1,0,0,1,1,0,0,0,0,1,0,1,0,0
-0.1500677026930625,-1.185427426339568,0.9497457622486098,-0.7088409169095198,-0.2947691865192366,1,0,0,1,0,0,1,1,1,0,0,0,0,0
-0.24668690847758978,-0.7783308681298429,-0.6256649906471274,-0.6584503077407509,-1.2268666663157293,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1.444149192751638,0.14588371524000435,0.9497457622486098,-1.2411857737754906,-0.5278304119761439,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1.444149192751638,-0.615111790574782,0.9497457622486098,-1.0397105921665966,0.28932759913751854,1,0,0,0,0,1,0,1,0,0,1,1,1,0
1.2509107811825833,-1.1042354433351869,0.9497457622486098,-0.8039976814776372,0.6415281313468941,0,1,0,1,1,0,0,0,1,0,0,0,0,1
-1.1162597605383355,-0.4359652873117524,-0.6256649906471274,-1.1431594869090893,-1.3435441533412904,1,0,0,1,1,0,0,0,1,0,0,0,0,0
-0.19837730558532612,0.9569741147684465,4.100567268040085,-0.99360612207295,-1.2848623535177934,0,0,1,0,1,0,0,1,1,0,0,1,0,0
1.589078001428429,0.5897562086557583,-0.6256649906471274,-1.1749935318492843,-0.2356812477403956,1,0,0,0,0,0,1,1,0,1,0,1,1,0
-1.454426980784181,-0.6185859594879534,2.525156515144347,-0.5760448268436476,0.05509382662600667,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0.1397899146605194,-0.8038129138526015,0.9497457622486098,-0.9066163958422809,-0.5275092999883231,1,0,0,0,1,0,0,1,0,1,0,0,1,0
1.444149192751638,2.0510781800066433,-0.6256649906471274,-0.8125133380005006,-0.8193918459451515,0,1,0,0,1,0,0,1,0,1,0,0,0,0
-1.1162597605383355,1.2026699623221933,-0.6256649906471274,-0.9240724209894563,-0.2943496921767245,0,1,0,0,1,0,0,0,1,0,0,0,0,1
-0.6814733345079627,2.286638631383889,-0.6256649906471274,-0.7800612003905059,0.11785347133163683,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0.47795713490636493,-0.22184897967516384,-0.6256649906471274,-0.7077823071365075,0.5214408251837681,1,0,0,0,1,0,0,1,1,0,0,0,1,0
0.333028326229574,0.3236833771709089,-0.6256649906471274,-1.217282540606585,0.7012974512574729,0,1,0,0,0,0,1,0,0,0,1,1,1,1
0.38133792912183767,0.11039693705207043,-0.6256649906471274,-0.657591123560585,-0.46857204633696026,1,0,0,1,0,0,1,1,0,0,1,0,1,1
-1.454426980784181,-0.753442708640166,-0.6256649906471274,-0.82027497088526,-0.5279154389436672,0,1,0,0,1,0,0,1,1,0,0,0,0,0
-0.7297829374002263,0.12621948218907575,4.100567268040085,-0.531189459506455,0.2886462180057808,0,1,0,0,1,0,0,0,0,1,0,1,1,0
-1.1162597605383355,0.39236529307122064,-0.6256649906471274,-1.2130239584606195,-1.0511506531130674,0,1,0,0,0,0,1,0,0,1,0,1,1,0
-0.05344849690853518,-0.4061446819701304,0.9497457622486098,-1.0528912699687434,-1.1101535649243852,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0.7195051493676832,1.8775244331902503,-0.6256649906471274,-0.9813955246995792,-0.5278304119761439,0,1,0,0,0,1,0,1,0,1,0,0,0,1
1.0576723696135288,-0.3590231524432944,-0.6256649906471274,-1.0862274791717377,-0.23499986660865785,1,0,0,0,1,0,0,0,0,0,1,1,1,0
1.154291575398056,-1.056544062706115,-0.6256649906471274,-1.1471888346696673,-1.8678716190874673,0,1,0,0,1,0,0,0,1,0,0,0,0,0
-0.29499651136985344,-1.2224563859230468,0.9497457622486098,-0.911013938442911,1.1666876633522865,1,0,0,0,1,0,0,1,0,1,0,1,1,0
0.8161243551522105,0.3123173822951013,-0.6256649906471274,-1.2517149872811666,-0.7601334803059678,1,0,0,0,1,0,0,1,0,0,1,0,1,0
-1.599355789460972,-1.1472793036634314,-0.6256649906471274,-1.250279917116478,0.6418492433347148,1,0,0,1,0,1,0,0,1,0,0,0,1,0
